core	age_calkaBP	d18Obenth	d18Ow	sealevel
1337 Kochhann	19511.00	1.95	0.44	-27.29
1337 Kochhann	19515.00	2.11	0.61	-37.41
1337 Kochhann	19519.00	2.08	0.58	-35.41
1337 Kochhann	19523.00	1.84	0.34	-20.79
1337 Kochhann	19527.00	1.77	0.26	-16.26
1337 Kochhann	19531.00	1.67	0.17	-10.44
1337 Kochhann	19534.00	1.78	0.27	-16.80
1337 Kochhann	19543.00	1.52	0.01	-0.85
1337 Kochhann	19547.00	1.66	0.16	-9.99
1337 Kochhann	19551.00	1.42	-0.08	4.82
1337 Kochhann	19554.00	1.22	-0.28	17.54
1337 Kochhann	19558.00	1.16	-0.34	21.20
1337 Kochhann	19561.00	1.31	-0.19	11.95
1337 Kochhann	19564.00	1.41	-0.09	5.29
1337 Kochhann	19566.00	1.83	0.33	-20.26
1337 Kochhann	19569.00	1.71	0.21	-12.84
1337 Kochhann	19571.00	1.79	0.29	-17.84
1337 Kochhann	19574.00	1.70	0.20	-12.32
1337 Kochhann	19577.00	1.53	0.04	-2.18
1337 Kochhann	19582.00	1.85	0.35	-21.54
1337 Kochhann	19585.00	1.64	0.14	-8.82
1337 Kochhann	19587.00	1.61	0.12	-7.11
1337 Kochhann	19590.00	1.62	0.12	-7.50
1337 Kochhann	19592.00	1.67	0.17	-10.34
1337 Kochhann	19595.00	1.85	0.36	-21.93
1337 Kochhann	19598.00	2.03	0.54	-32.96
1337 Kochhann	19600.00	1.73	0.24	-14.58
1337 Kochhann	19603.00	1.98	0.48	-29.76
1337 Kochhann	19605.00	1.95	0.45	-27.60
1337 Kochhann	19608.00	1.94	0.44	-27.16
1337 Kochhann	19611.00	1.91	0.41	-25.49
1337 Kochhann	19613.00	1.89	0.39	-23.88
1337 Kochhann	19616.00	1.78	0.28	-17.10
1337 Kochhann	19619.00	1.81	0.31	-19.36
1337 Kochhann	19621.00	1.76	0.26	-16.03
1337 Kochhann	19624.00	1.75	0.25	-15.28
1337 Kochhann	19626.00	1.42	-0.08	4.79
1337 Kochhann	19629.00	1.36	-0.14	8.74
1337 Kochhann	19632.00	1.23	-0.27	16.62
1337 Kochhann	19636.00	1.34	-0.16	9.93
1337 Kochhann	19640.00	1.39	-0.11	6.99
1337 Kochhann	19644.00	1.29	-0.21	12.92
1337 Kochhann	19648.00	1.36	-0.14	8.63
1337 Kochhann	19652.00	1.83	0.33	-20.34
1337 Kochhann	19656.00	1.79	0.29	-17.93
1337 Kochhann	19660.00	1.59	0.09	-5.42
1337 Kochhann	19664.00	1.57	0.06	-3.99
1337 Kochhann	19668.00	1.36	-0.14	8.76
1337 Kochhann	19672.00	1.31	-0.20	12.04
1337 Kochhann	19676.00	1.47	-0.03	1.90
1337 Kochhann	19680.00	1.22	-0.28	17.06
1337 Kochhann	19684.00	1.71	0.20	-12.59
1337 Kochhann	19688.00	1.83	0.33	-20.14
1337 Kochhann	19692.00	1.70	0.20	-12.00
1337 Kochhann	19696.00	1.62	0.12	-7.25
1337 Kochhann	19700.00	1.37	-0.13	8.15
1337 Kochhann	19704.00	1.92	0.42	-25.63
1337 Kochhann	19709.00	2.00	0.49	-30.28
1337 Kochhann	19713.00	1.66	0.16	-9.66
1337 Kochhann	19717.00	1.82	0.32	-19.50
1337 Kochhann	19720.00	1.52	0.01	-0.44
1337 Kochhann	19724.00	1.60	0.09	-5.42
1337 Kochhann	19728.00	1.58	0.07	-4.24
1337 Kochhann	19732.00	1.71	0.20	-12.42
1337 Kochhann	19736.00	1.69	0.17	-10.75
1337 Kochhann	19741.00	1.55	0.03	-1.99
1337 Kochhann	19745.00	1.60	0.09	-5.31
1337 Kochhann	19749.00	1.34	-0.17	10.76
1337 Kochhann	19753.00	1.39	-0.13	8.12
1337 Kochhann	19757.00	1.18	-0.33	20.55
1337 Kochhann	19761.00	1.10	-0.42	26.10
1337 Kochhann	19765.00	1.09	-0.43	26.41
1337 Kochhann	19768.00	1.54	0.02	-1.05
1337 Kochhann	19771.00	1.78	0.26	-15.95
1337 Kochhann	19774.00	2.35	0.82	-50.61
1337 Kochhann	19777.00	2.27	0.74	-45.76
1337 Kochhann	19780.00	1.84	0.32	-19.55
1337 Kochhann	19783.00	1.83	0.30	-18.76
1337 Kochhann	19786.00	1.85	0.32	-19.64
1337 Kochhann	19789.00	2.09	0.56	-34.35
1337 Kochhann	19792.00	2.08	0.56	-34.18
1337 Kochhann	19795.00	2.05	0.52	-32.10
1337 Kochhann	19798.00	2.04	0.51	-31.50
1337 Kochhann	19801.00	1.95	0.41	-25.53
1337 Kochhann	19804.00	1.91	0.38	-23.11
1337 Kochhann	19807.00	2.03	0.49	-30.36
1337 Kochhann	19810.00	2.17	0.63	-38.96
1337 Kochhann	19813.00	2.07	0.54	-33.03
1337 Kochhann	19816.00	2.05	0.52	-31.72
1337 Kochhann	19819.00	2.24	0.71	-43.46
1337 Kochhann	19822.00	2.14	0.60	-36.92
1337 Kochhann	19825.00	2.18	0.64	-39.55
1337 Kochhann	19829.00	2.28	0.74	-45.60
1337 Kochhann	19832.00	2.12	0.57	-35.37
1337 Kochhann	19835.00	2.23	0.68	-42.00
1337 Kochhann	19838.00	2.00	0.45	-27.65
1337 Kochhann	19841.00	1.63	0.08	-5.11
1337 Kochhann	19844.00	1.93	0.38	-23.31
1337 Kochhann	19848.00	1.94	0.39	-24.13
1337 Kochhann	19851.00	1.83	0.28	-16.97
1337 Kochhann	19855.00	1.75	0.20	-12.38
1337 Kochhann	19858.00	1.74	0.18	-11.19
1337 Kochhann	19862.00	1.53	-0.03	1.59
1337 Kochhann	19866.00	1.68	0.12	-7.36
1337 Kochhann	19870.00	1.77	0.21	-12.85
1337 Kochhann	19873.00	1.98	0.42	-25.57
1337 Kochhann	19877.00	1.97	0.41	-25.35
1337 Kochhann	19880.00	1.96	0.40	-24.35
1337 Kochhann	19884.00	2.07	0.50	-30.83
1337 Kochhann	19888.00	2.03	0.47	-28.69
1337 Kochhann	19891.00	2.10	0.53	-32.49
1337 Kochhann	19895.00	1.89	0.32	-19.84
1337 Kochhann	19899.00	1.91	0.34	-20.90
1337 Kochhann	19902.00	1.76	0.18	-11.34
1337 Kochhann	19906.00	1.79	0.22	-13.31
1337 Kochhann	19909.00	1.94	0.37	-22.50
1337 Kochhann	19913.00	1.82	0.24	-14.93
1337 Kochhann	19917.00	1.76	0.18	-10.81
1337 Kochhann	19920.00	1.56	-0.02	1.22
1337 Kochhann	19924.00	1.74	0.16	-9.67
1337 Kochhann	19927.00	1.56	-0.03	1.87
1337 Kochhann	19931.00	1.48	-0.11	6.49
1337 Kochhann	19935.00	1.48	-0.11	6.67
1337 Kochhann	19938.00	1.82	0.22	-13.79
1337 Kochhann	19942.00	1.82	0.23	-13.97
1337 Kochhann	19945.00	1.53	-0.06	3.84
1337 Kochhann	19949.00	1.67	0.08	-4.71
1337 Kochhann	19952.00	1.69	0.09	-5.48
1337 Kochhann	19956.00	1.51	-0.09	5.42
1337 Kochhann	19959.00	1.52	-0.08	4.95
1337 Kochhann	19963.00	1.79	0.18	-11.23
1337 Kochhann	19966.00	1.86	0.26	-15.81
1337 Kochhann	19970.00	1.66	0.06	-3.50
1337 Kochhann	19973.00	1.61	0.00	-0.15
1337 Kochhann	19977.00	1.84	0.23	-13.99
1337 Kochhann	19980.00	1.58	-0.03	1.79
1337 Kochhann	19984.00	1.80	0.18	-11.38
1337 Kochhann	19987.00	2.11	0.50	-30.55
1337 Kochhann	19991.00	1.85	0.23	-14.30
1337 Kochhann	19994.00	1.86	0.24	-15.07
1337 Kochhann	19998.00	1.61	-0.01	0.69
1337 Kochhann	20001.00	1.63	0.01	-0.46
1337 Kochhann	20005.00	1.36	-0.26	16.13
1337 Kochhann	20008.00	1.42	-0.21	12.64
