occurrence_no	record_type	reid_no	flags	collection_no	identified_name	identified_rank	identified_no	difference	accepted_name	accepted_rank	accepted_no	early_interval	late_interval	max_ma	min_ma	reference_no
213056	occ			21689	Ateles paniscus	species	232428		Ateles paniscus	species	104123	Holocene		0.0117	0	4790
213057	occ			21689	Callicebus moloch	species	384487	recombined as	Plecturocebus moloch	species	384487	Holocene		0.0117	0	4790
213058	occ			21689	Cebus albifrons	species	232539		Cebus albifrons	species	232538	Holocene		0.0117	0	4790
213059	occ			21689	Cebus apella	species	232441	recombined as	Sapajus apella	species	104132	Holocene		0.0117	0	4790
213060	occ			21689	Lagothrix lagotricha	species	232530		Lagothrix lagotricha	species	232529	Holocene		0.0117	0	4790
213061	occ			21689	Saguinus fuscicollis	species	231758	recombined as	Leontocebus fuscicollis	species	231757	Holocene		0.0117	0	4790
213062	occ			21689	Saguinus imperator	species	385838		Saguinus imperator	species	385837	Holocene		0.0117	0	4790
213063	occ			21689	Saimiri sciureus	species	232446		Saimiri sciureus	species	104135	Holocene		0.0117	0	4790
213064	occ			21689	Callimico goeldii	species	233443		Callimico goeldii	species	233441	Holocene		0.0117	0	4790
213065	occ			21689	Mesomys hispidus	species	159115	species not entered	Mesomys	genus	159115	Holocene		0.0117	0	4790
213066	occ			21689	Dasyprocta variegata	species	105149	species not entered	Dasyprocta	genus	105149	Holocene		0.0117	0	4790
213067	occ			21689	Dactylomys dactylinus	species	159121	species not entered	Dactylomys	genus	159121	Holocene		0.0117	0	4790
213068	occ			21689	Proechimys brevicauda	species	159117	species not entered	Proechimys	genus	159117	Holocene		0.0117	0	4790
213069	occ			21689	Oecomys superans	species	104875	species not entered	Oecomys	genus	104875	Holocene		0.0117	0	4790
213070	occ			21689	Oligoryzomys microtis	species	159122	species not entered	Oligoryzomys	genus	159122	Holocene		0.0117	0	4790
213071	occ			21689	Sciurus sanborni	species	41525	species not entered	Sciurus	genus	41525	Holocene		0.0117	0	4790
213072	occ			21689	Agouti paca	species	233833	recombined as	Cuniculus paca	species	233814	Holocene		0.0117	0	4790
