"","collection_no","source_database","collection.authorizer","family_name","family_extant","genus_extant","species_extant","occurrence.genus_reso","occurrence.genus_name","occurrence.species_reso","occurrence.species_name","original.genus_reso","original.genus_name","original.species_reso","original.species_name","country","state","period","epoch","stage","ma_max","ma_min","formation"
"108",13680,"Fossilworks","J. Alroy","Caviidae","yes","no","","","Rhodanodolichotis","","NA","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"109",13681,"Fossilworks","J. Alroy","Dasypodidae","yes","no","no","","Anadasypus","","hondanus","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"110",13682,"Fossilworks","J. Alroy","Dasypodidae","yes","no","no","","Anadasypus","","hondanus","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"111",13683,"Fossilworks","J. Alroy","Dasypodidae","yes","","no","n. gen.","Pedrolypeutes","n. sp.","praecursor","","","","","Colombia","","Neogene","Miocene","",15.97,11.608,""
"112",13684,"Fossilworks","J. Alroy","Dasypodidae","yes","","no","","Pedrolypeutes","","praecursor","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"113",13684,"Fossilworks","J. Alroy","Mylodontidae","","no","no","","Pseudoprepotherium","","confusum","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"114",13684,"Fossilworks","J. Alroy","Mylodontidae","","no","no","","Neonematherium","","flabellatum","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"115",13684,"Fossilworks","J. Alroy","","","no","","cf.","Hapalops","","NA","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"116",13685,"Fossilworks","J. Alroy","Dasypodidae","yes","","no","","Pedrolypeutes","","praecursor","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"117",13686,"Fossilworks","J. Alroy","Dasypodidae","yes","","no","","Pedrolypeutes","","praecursor","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"118",13686,"Fossilworks","J. Alroy","Glyptodontidae","yes","no","no","","Boreostemma","","gigantea","","Asterostemma","","gigantea","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"119",13686,"Fossilworks","J. Alroy","Paleothentidae","","","no","","Hondathentes","","cazador","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"120",13686,"Fossilworks","J. Alroy","Cebidae","yes","","no","","Neosaimiri","","annectens","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"121",13687,"Fossilworks","J. Alroy","Dasypodidae","yes","","no","","Pedrolypeutes","","praecursor","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"122",13687,"Fossilworks","J. Alroy","Mylodontidae","","no","no","","Neonematherium","","flabellatum","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"123",13739,"Fossilworks","J. Alroy","Dasypodidae","yes","","no","","Pedrolypeutes","","praecursor","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"124",13739,"Fossilworks","J. Alroy","Mylodontidae","","no","no","","Neonematherium","","flabellatum","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"125",13739,"Fossilworks","J. Alroy","Pitheciidae","yes","no","","cf.","Nuciruptor","","NA","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"126",13739,"Fossilworks","J. Alroy","Proterotheriidae","no","","no","","Villarroelia","","totoyoi","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"127",13740,"Fossilworks","J. Alroy","Glyptodontidae","yes","no","no","","Neoglyptatelus","","originalis","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"128",13741,"Fossilworks","J. Alroy","Glyptodontidae","yes","no","no","","Neoglyptatelus","","originalis","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
