order;family;genus;accepted_name;status;gen_lvl_status;cc;state;locality;formation;period;epoch;Sub_epoch;stage;min_ma;max_ma;collection_no;authorizer;primary_reference
;Peradectidae;Procaroloameghinia;Procaroloameghinia_pricei;extinct;extinct;Brazil;Rio de Janeiro;Cabucu;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;P. Mannion;E. V. Oliveira and F. J. Goin. 2011. A reassessment of bunodont metatherians from the Paleogene of Itaborai (Brazil): Systematics and the age of the Itaborian SALMA. Revista Brasileira de Paleontologia 14(2):105-136
;Protodidelphidae;Bergqvistherium;Bergqvistherium_primigenia;extinct;extinct;Brazil;Rio de Janeiro;Cabucu;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;P. Mannion;L. M. Carneiro. 2018. A new protodidelphid (Mammalia, Marsupialia, Didelphimorphia) from the ItaboraÌ Basin and its implications for the evolution of the Protodidelphidae. Anais da Academia Brasileira de CiÍncias
;Protodidelphidae;Carolocoutoia;Carolocoutoia_ferigoloi;extinct;extinct;Brazil;Rio de Janeiro;Cabucu;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;P. Mannion;E. V. Oliveira and F. J. Goin. 2011. A reassessment of bunodont metatherians from the Paleogene of Itaborai (Brazil): Systematics and the age of the Itaborian SALMA. Revista Brasileira de Paleontologia 14(2):105-136
;Protodidelphidae;Guggenheimia;Guggenheimia_brasiliensis;extinct;extinct;Brazil;Rio de Janeiro;Cabucu;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;P. Mannion;C. d. Paula Couto. 1952. Fossil mammals from the beginning of the Cenozoic in Brazil. Marsupialia: Didelphidae. American Museum Novitates 1567:1-26
;Protodidelphidae;Guggenheimia;Guggenheimia_crocheti;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Ypresian;Ypresian;47.8;56;133040;P. Mannion;E. V. Oliveira and F. J. Goin. 2011. A reassessment of bunodont metatherians from the Paleogene of Itaborai (Brazil): Systematics and the age of the Itaborian SALMA. Revista Brasileira de Paleontologia 14(2):105-136
;Protodidelphidae;Guggenheimia;Guggenheimia_crocheti;extinct;extinct;Brazil;Rio de Janeiro;Cabucu;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;P. Mannion;E. V. Oliveira and F. J. Goin. 2011. A reassessment of bunodont metatherians from the Paleogene of Itaborai (Brazil): Systematics and the age of the Itaborian SALMA. Revista Brasileira de Paleontologia 14(2):105-136
;Protodidelphidae;Periprotodidelphis;Periprotodidelphis_bergqvistae;extinct;extinct;Brazil;Rio de Janeiro;Cabucu;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;P. Mannion;E. V. Oliveira and F. J. Goin. 2011. A reassessment of bunodont metatherians from the Paleogene of Itaborai (Brazil): Systematics and the age of the Itaborian SALMA. Revista Brasileira de Paleontologia 14(2):105-136
;Protodidelphidae;Protodidelphis;Protodidelphis;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Late Paleocene-Early Eocene;Late Paleocene-Early Eocene;47.8;59.2;133039;J. Zijlstra;M. F. Tejedor, F. J. Goin, and J. N. Gelfo, G. LÛpez, M. Bond, A. A. Carlini, G. J. Scillato-YanÈ, M. O. Woodburne, L. Chornogubsky, E. AragÛn, M. A. Reguero, N. J. Czaplewski, S. Vincon, G. M. Martin, M. R. Ciancio. 2009. New Early Eocene mammalian fauna from western Patagonia, Argentina. American Museum Novitates 3638:1-43
;Protodidelphidae;Protodidelphis;Protodidelphis;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Late Paleocene-Early Eocene;Late Paleocene-Early Eocene;47.8;59.2;133039;J. Zijlstra;M. F. Tejedor, F. J. Goin, and J. N. Gelfo, G. LÛpez, M. Bond, A. A. Carlini, G. J. Scillato-YanÈ, M. O. Woodburne, L. Chornogubsky, E. AragÛn, M. A. Reguero, N. J. Czaplewski, S. Vincon, G. M. Martin, M. R. Ciancio. 2009. New Early Eocene mammalian fauna from western Patagonia, Argentina. American Museum Novitates 3638:1-43
;Protodidelphidae;Protodidelphis;Protodidelphis;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Late Paleocene-Early Eocene;Late Paleocene-Early Eocene;47.8;59.2;133040;P. Mannion;E. V. Oliveira and F. J. Goin. 2011. A reassessment of bunodont metatherians from the Paleogene of Itaborai (Brazil): Systematics and the age of the Itaborian SALMA. Revista Brasileira de Paleontologia 14(2):105-136
